Location,Male,Female,Total,Footnotes
United States,152799800,159978200,312777900,1
Alabama,2276300,2453800,4730100,
Alaska,363500,344000,707500,
Arizona,3260100,3395100,6655100,
Arkansas,1401000,1481300,2882300,
California,18890300,19434900,38325100,
Colorado,2649100,2666300,5315400,
Connecticut,1694300,1783800,3478100,
Delaware,439400,478900,918300,
District of Columbia,301700,333100,634800,
Florida,9581400,10231100,19812500,
Georgia,4772100,5137600,9909700,
Hawaii,668000,694600,1362600,
Idaho,804200,813000,1617200,
Illinois,6112300,6437400,12549700,
Indiana,3141600,3273500,6415100,
Iowa,1495000,1524800,3019800,
Kansas,1389600,1427000,2816600,
Kentucky,2093000,2190400,4283400,
Louisiana,2186700,2343600,4530300,
Maine,632100,660500,1292600,
Maryland,2800600,3037700,5838300,
Massachusetts,3180200,3375400,6555600,
Michigan,4743000,4950800,9693800,
Minnesota,2666300,2699300,5365600,
Mississippi,1380800,1508500,2889300,
Missouri,2873200,3017800,5890900,
Montana,504900,501000,1005900,
Nebraska,912200,926200,1838400,
Nevada,1413100,1429600,2842700,
New Hampshire,637600,650000,1287600,
New Jersey,4267100,4509200,8776300,
New Mexico,1000700,1034600,2035300,
New York,9329000,9940200,19269200,
North Carolina,4697100,5036600,9733700,
North Dakota,369500,356900,726400,
Ohio,5507600,5785700,11293300,
Oklahoma,1855900,1927800,3783700,
Oregon,1942300,2006500,3948700,
Pennsylvania,6019500,6366900,12386400,
Rhode Island,491300,523100,1014400,
South Carolina,2282400,2451600,4734000,
South Dakota,415100,413800,829000,
Tennessee,3108900,3313900,6422800,
Texas,13159400,13618000,26777500,
Utah,1479700,1465500,2945200,
Vermont,297600,304800,602400,
Virginia,3891700,4159600,8051200,
Washington,3478000,3524800,7002800,
West Virginia,877500,914000,1791500,
Wisconsin,2784200,2836700,5620900,
Wyoming,281600,287300,568900,
Puerto Rico,1637900,1805300,3443200,